gameId,total,maximo,minimo,margen,prorrogas,fecha,partido,estrella_gs,mvp,nota_igualdad,nota_ritmo,nota_ot,nota_estrella,KPI
0022500224,246,130,116,14,0,2025-11-12,LAC vs DEN,53.20000000000001,Nikola Jokić,0.30000000000000004,0.7666666666666667,0.0,1.0,47.3
0022500225,239,126,113,13,0,2025-11-13,CLE vs TOR,29.299999999999997,Scottie Barnes,0.35,0.65,0.0,0.47666666666666657,33.3
0022500226,231,133,98,35,0,2025-11-13,PHX vs IND,26.599999999999998,Devin Booker,0.0,0.5166666666666667,0.0,0.3866666666666666,14.2
0022500227,254,132,122,10,0,2025-11-13,UTA vs ATL,37.099999999999994,Jalen Johnson,0.5,0.9,0.0,0.7366666666666665,49.1
0022500039,272,140,132,8,0,2025-11-14,NYK vs MIA,31.900000000000002,Karl-Anthony Towns,0.6,1.0,0.0,0.5633333333333334,48.9
0022500040,203,105,98,7,0,2025-11-14,ORL vs BKN,20.7,Michael Porter Jr.,0.65,0.05,0.0,0.18999999999999997,35.2
0022500041,219,114,105,9,0,2025-11-14,DET vs PHI,19.999999999999996,Javonte Green,0.55,0.31666666666666665,0.0,0.16666666666666655,31.3
0022500042,256,140,116,24,0,2025-11-14,HOU vs POR,33.5,Alperen Sengun,0.0,0.9333333333333333,0.0,0.6166666666666667,23.2
0022500043,281,147,134,13,1,2025-11-14,MIL vs CHA,27.7,Kyle Kuzma,0.35,1.0,0.7,0.4233333333333333,47.4
0022500044,234,124,110,14,0,2025-11-14,MIN vs SAC,25.300000000000008,Domantas Sabonis,0.30000000000000004,0.5666666666666667,0.0,0.3433333333333336,26.6
